user_cluster,num_users,top_artist_1,top_genre_1,top_tag_1,avg_total_streams,avg_year_1,avg_tags_1_avg_duration_ms,avg_tags_1_avg_danceability
0,18316,Enya,Rock,rock,98.38081458833807,1996.1259554487879,286347.2631832727,0.4599990240938264
1,80927,Kings of Leon,Rock,indie,108.10378489255748,2007.3360559516602,232508.62566443588,0.48069955845525075
2,41037,Justin Bieber,Rock,electronic,98.43463216122036,2007.12873748081,246893.83334494726,0.6395961405363287
